[Mon Aug 31 04:34:40.011339 2020] [php7:error] [pid 5458] [client 103.23.34.229:34541] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /var/www/html/system/database/drivers/mysqli/mysqli_result.php on line 229
[Mon Aug 31 04:34:51.864939 2020] [php7:error] [pid 17270] [client 103.23.34.229:34542] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /var/www/html/system/database/drivers/mysqli/mysqli_result.php on line 229
[Mon Aug 31 04:34:53.984308 2020] [php7:error] [pid 15383] [client 103.23.34.229:34543] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /var/www/html/system/database/drivers/mysqli/mysqli_result.php on line 229
[Mon Aug 31 04:35:10.389976 2020] [php7:error] [pid 17270] [client 103.23.34.229:34545] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /var/www/html/system/database/drivers/mysqli/mysqli_result.php on line 229
[Mon Aug 31 04:35:12.454635 2020] [php7:error] [pid 29690] [client 103.23.34.229:34546] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /var/www/html/system/database/drivers/mysqli/mysqli_result.php on line 229
[Mon Aug 31 04:35:34.161526 2020] [php7:error] [pid 31502] [client 103.23.34.229:34549] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /var/www/html/system/database/drivers/mysqli/mysqli_result.php on line 229
[Mon Aug 31 04:38:23.664161 2020] [php7:error] [pid 5461] [client 103.23.34.229:34577] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /var/www/html/system/database/drivers/mysqli/mysqli_result.php on line 229
[Mon Aug 31 04:38:26.299556 2020] [php7:error] [pid 26881] [client 103.23.34.229:34578] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /var/www/html/system/database/drivers/mysqli/mysqli_result.php on line 229
[Mon Aug 31 05:49:42.966351 2020] [core:error] [pid 5458] [client 137.74.132.220:57447] AH00126: Invalid URI in request GET /../../../../../../../../../../../../windows/win.ini HTTP/1.1
[Mon Sep 07 09:33:15.783905 2020] [php7:warn] [pid 5573] [client 103.23.34.229:34002] PHP Warning:  POST Content-Length of 10878023 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[Mon Sep 07 09:35:59.287709 2020] [php7:warn] [pid 5574] [client 103.23.34.229:34028] PHP Warning:  POST Content-Length of 10878023 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[Tue Sep 15 20:47:41.108512 2020] [ssl:error] [pid 13046] [client 162.216.19.69:56710] AH02042: rejecting client initiated renegotiation
[Wed Sep 16 02:06:49.873946 2020] [authz_core:error] [pid 14971] [client 185.234.218.42:48034] AH01630: client denied by server configuration: /var/www/html/system/.env
[Wed Sep 16 02:07:11.218523 2020] [authz_core:error] [pid 5275] [client 185.234.218.42:35388] AH01630: client denied by server configuration: /var/www/html/application/.env
[Wed Sep 16 04:02:35.887370 2020] [authz_core:error] [pid 7888] [client 103.75.184.194:45838] AH01630: client denied by server configuration: /var/www/html/.php
[Mon Sep 21 09:27:42.687281 2020] [php7:error] [pid 27791] [client 103.23.34.229:50390] PHP Fatal error:  Cannot redeclare Main_model::addcomment() in /var/www/html/application/models/Main_model.php on line 2950
[Mon Sep 21 09:28:13.370114 2020] [php7:error] [pid 29437] [client 103.23.34.229:50396] PHP Fatal error:  Cannot redeclare Main_model::addcomment() in /var/www/html/application/models/Main_model.php on line 2950
[Mon Sep 21 09:28:16.673120 2020] [php7:error] [pid 27758] [client 157.245.192.8:51886] PHP Fatal error:  Cannot redeclare Main_model::addcomment() in /var/www/html/application/models/Main_model.php on line 2950
[Mon Sep 21 09:28:22.322281 2020] [php7:error] [pid 27755] [client 45.13.254.42:49723] PHP Fatal error:  Cannot redeclare Main_model::addcomment() in /var/www/html/application/models/Main_model.php on line 2950
[Mon Sep 21 09:28:22.347438 2020] [php7:error] [pid 29440] [client 45.13.254.42:49725] PHP Fatal error:  Cannot redeclare Main_model::addcomment() in /var/www/html/application/models/Main_model.php on line 2950
[Mon Sep 21 09:28:22.370759 2020] [php7:error] [pid 27756] [client 45.13.254.42:49727] PHP Fatal error:  Cannot redeclare Main_model::addcomment() in /var/www/html/application/models/Main_model.php on line 2950
[Mon Sep 21 09:28:22.401508 2020] [php7:error] [pid 30915] [client 45.13.254.42:49731] PHP Fatal error:  Cannot redeclare Main_model::addcomment() in /var/www/html/application/models/Main_model.php on line 2950
[Sat Oct 10 08:55:43.011969 2020] [core:error] [pid 16631] [client 45.129.33.120:56175] AH00126: Invalid URI in request GET /../../../../../../../etc/passwd HTTP/1.1
[Sat Oct 10 08:55:43.822028 2020] [core:error] [pid 16634] [client 45.129.33.120:37768] AH00126: Invalid URI in request GET /../../../../../../../etc/passwd HTTP/1.1
[Mon Oct 12 02:45:32.864772 2020] [core:error] [pid 20903] [client 137.74.46.39:50346] AH00126: Invalid URI in request GET /../../../../../../../../../../../../etc/passwd HTTP/1.1
[Sun Oct 25 01:47:22.323282 2020] [authz_core:error] [pid 1725] [client 154.213.17.212:18335] AH01630: client denied by server configuration: /var/www/html/.php
[Tue Nov 03 12:35:47.196719 2020] [ssl:error] [pid 19734] [client 176.58.125.216:51436] AH02042: rejecting client initiated renegotiation
[Wed Nov 04 06:21:24.193788 2020] [php7:error] [pid 24253] [client 103.84.230.66:50658] PHP Fatal error:  Cannot use temporary expression in write context in /var/www/html/application/models/Admin_model.php on line 5709
[Wed Nov 04 06:21:25.845673 2020] [php7:error] [pid 24250] [client 103.84.230.66:50659] PHP Fatal error:  Cannot use temporary expression in write context in /var/www/html/application/models/Admin_model.php on line 5709
[Wed Nov 04 06:59:03.647367 2020] [php7:error] [pid 12729] [client 36.69.196.68:60123] PHP Fatal error:  Cannot use temporary expression in write context in /var/www/html/application/models/Admin_model.php on line 5709
[Wed Nov 04 06:59:27.526603 2020] [php7:error] [pid 12729] [client 36.69.196.68:51982] PHP Fatal error:  Cannot use temporary expression in write context in /var/www/html/application/models/Admin_model.php on line 5709
[Wed Nov 04 06:59:29.199475 2020] [php7:error] [pid 12687] [client 36.69.196.68:53378] PHP Fatal error:  Cannot use temporary expression in write context in /var/www/html/application/models/Admin_model.php on line 5709
[Wed Nov 04 07:00:11.368376 2020] [php7:error] [pid 12684] [client 36.69.196.68:51258] PHP Fatal error:  Cannot use temporary expression in write context in /var/www/html/application/models/Admin_model.php on line 5709
[Wed Nov 04 07:02:23.590314 2020] [php7:error] [pid 12688] [client 36.69.196.68:57128] PHP Fatal error:  Cannot use temporary expression in write context in /var/www/html/application/models/Admin_model.php on line 5709
[Wed Nov 04 07:02:25.014435 2020] [php7:error] [pid 12694] [client 36.69.196.68:57904] PHP Fatal error:  Cannot use temporary expression in write context in /var/www/html/application/models/Admin_model.php on line 5709
[Wed Nov 04 07:03:10.236196 2020] [php7:error] [pid 12687] [client 36.69.196.68:53715] PHP Fatal error:  Cannot use temporary expression in write context in /var/www/html/application/models/Admin_model.php on line 5714
[Wed Nov 04 07:03:11.346924 2020] [php7:error] [pid 12729] [client 36.69.196.68:57288] PHP Fatal error:  Cannot use temporary expression in write context in /var/www/html/application/models/Admin_model.php on line 5714
[Wed Nov 04 09:45:47.742519 2020] [php7:error] [pid 12686] [client 103.84.230.66:57340] PHP Fatal error:  Cannot use [] for reading in /var/www/html/application/models/Admin_model.php on line 5798
[Wed Nov 04 09:45:53.502102 2020] [php7:error] [pid 16094] [client 103.84.230.66:57341] PHP Fatal error:  Cannot use [] for reading in /var/www/html/application/models/Admin_model.php on line 5798
[Fri Nov 13 02:50:01.668714 2020] [php7:error] [pid 30087] [client 157.245.192.8:55438] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
[Fri Nov 13 02:50:01.898733 2020] [php7:error] [pid 27152] [client 157.245.192.8:55442] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
[Fri Nov 13 02:50:01.902661 2020] [php7:error] [pid 21507] [client 157.245.192.8:55444] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
[Fri Nov 13 02:50:01.903311 2020] [php7:error] [pid 27137] [client 157.245.192.8:55446] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
[Fri Nov 13 02:50:01.910469 2020] [php7:error] [pid 14995] [client 157.245.192.8:55448] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
[Fri Nov 13 02:50:01.916385 2020] [php7:error] [pid 10746] [client 157.245.192.8:55450] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
[Fri Nov 13 02:50:01.946528 2020] [php7:error] [pid 13532] [client 157.245.192.8:55456] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
[Fri Nov 13 02:50:02.212455 2020] [php7:error] [pid 11388] [client 157.245.192.8:55466] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
[Fri Nov 13 02:50:02.227306 2020] [php7:error] [pid 21506] [client 157.245.192.8:55470] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
[Fri Nov 13 02:50:02.227508 2020] [php7:error] [pid 30087] [client 157.245.192.8:55468] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
[Fri Nov 13 02:50:02.449605 2020] [php7:error] [pid 27152] [client 157.245.192.8:55478] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
[Fri Nov 13 02:50:02.461135 2020] [php7:error] [pid 21507] [client 157.245.192.8:55480] PHP Fatal error:  Cannot redeclare Main_model::freegift() in /var/www/html/application/models/Main_model.php on line 3424
